Sample,Voltage,3rd_Harmonic,5th_Harmonic,7th_Harmonic
1,202.7088861,0.33,0.2,0.14
2,297.5183965,0.33,0.2,0.14
3,279.793039,0.33,0.2,0.14
4,234.9898433,0.33,0.2,0.14
5,233.7523563,0.33,0.2,0.14
6,264.7169414,0.33,0.2,0.14
7,275.5979507,0.33,0.2,0.14
8,253.7027009,0.33,0.2,0.14
9,237.4466502,0.33,0.2,0.14
10,253.4949408,0.33,0.2,0.14
11,275.5276834,0.33,0.2,0.14
12,264.9348652,0.33,0.2,0.14
13,233.9310762,0.33,0.2,0.14
14,234.7731979,0.33,0.2,0.14
15,279.42223,0.33,0.2,0.14
16,297.7382819,0.33,0.2,0.14
17,203.9362977,0.33,0.2,0.14
18,1.73223222,0.33,0.2,0.14
19,-201.4744904,0.33,0.2,0.14
20,-297.2913392,0.33,0.2,0.14
21,-280.1623531,0.33,0.2,0.14
22,-235.2095589,0.33,0.2,0.14
23,-233.5757732,0.33,0.2,0.14
24,-264.4975753,0.33,0.2,0.14
25,-275.6659654,0.33,0.2,0.14
26,-253.9108717,0.33,0.2,0.14
27,-237.4488919,0.33,0.2,0.14
28,-253.287615,0.33,0.2,0.14
29,-275.4551742,0.33,0.2,0.14
30,-265.1513246,0.33,0.2,0.14
31,-234.1119078,0.33,0.2,0.14
32,-234.5596374,0.33,0.2,0.14
33,-279.0499751,0.33,0.2,0.14
34,-297.9510236,0.33,0.2,0.14
35,-205.1566932,0.33,0.2,0.14
36,-3.464399327,0.33,0.2,0.14
1,213.0018789,0.36,0.22,0.15
2,314.0277336,0.36,0.22,0.15
3,292.0533379,0.36,0.22,0.15
4,238.5783868,0.36,0.22,0.15
5,231.6460884,0.36,0.22,0.15
6,261.4649848,0.36,0.22,0.15
7,272.2399749,0.36,0.22,0.15
8,248.7743714,0.36,0.22,0.15
9,230.9484707,0.36,0.22,0.15
10,247.6611531,0.36,0.22,0.15
11,271.8352875,0.36,0.22,0.15
12,262.5435805,0.36,0.22,0.15
13,232.4455637,0.36,0.22,0.15
14,237.218918,0.36,0.22,0.15
15,289.8780971,0.36,0.22,0.15
16,315.0694313,0.36,0.22,0.15
17,219.4999992,0.36,0.22,0.15
18,5.536752344,0.36,0.22,0.15
19,-211.6796566,0.36,0.22,0.15
20,-313.7959904,0.36,0.22,0.15
21,-292.4833102,0.36,0.22,0.15
22,-238.8601927,0.36,0.22,0.15
23,-231.4933939,0.36,0.22,0.15
24,-261.2450037,0.36,0.22,0.15
25,-272.3138634,0.36,0.22,0.15
26,-248.9983353,0.36,0.22,0.15
27,-230.9556514,0.36,0.22,0.15
28,-247.4400052,0.36,0.22,0.15
29,-271.7473785,0.36,0.22,0.15
30,-262.7548717,0.36,0.22,0.15
31,-232.6124749,0.36,0.22,0.15
32,-236.957051,0.36,0.22,0.15
33,-289.4383439,0.36,0.22,0.15
34,-315.2545793,0.36,0.22,0.15
35,-220.776781,0.36,0.22,0.15
36,-7.38200792,0.36,0.22,0.15
1,227.5623557,0.4,0.24,0.17
2,335.5209126,0.4,0.24,0.17
3,306.2994156,0.4,0.24,0.17
4,242.0245444,0.4,0.24,0.17
5,230.6088196,0.4,0.24,0.17
6,261.0214126,0.4,0.24,0.17
7,269.913756,0.4,0.24,0.17
8,240.1363846,0.4,0.24,0.17
9,217.9594418,0.4,0.24,0.17
10,237.6819163,0.4,0.24,0.17
11,268.8105734,0.4,0.24,0.17
12,262.9619359,0.4,0.24,0.17
13,232.0467517,0.4,0.24,0.17
14,239.0699225,0.4,0.24,0.17
15,301.5688688,0.4,0.24,0.17
16,337.1400656,0.4,0.24,0.17
17,240.1032109,0.4,0.24,0.17
18,10.01221104,0.4,0.24,0.17
19,-226.1270711,0.4,0.24,0.17
20,-335.2976798,0.4,0.24,0.17
21,-306.8159953,0.4,0.24,0.17
22,-242.3716973,0.4,0.24,0.17
23,-230.4625128,0.4,0.24,0.17
24,-260.7975851,0.4,0.24,0.17
25,-270.0231149,0.4,0.24,0.17
26,-240.4121364,0.4,0.24,0.17
27,-217.9738636,0.4,0.24,0.17
28,-237.4127636,0.4,0.24,0.17
29,-268.6750251,0.4,0.24,0.17
30,-263.1688492,0.4,0.24,0.17
31,-232.2194311,0.4,0.24,0.17
32,-238.7608172,0.4,0.24,0.17
33,-301.0353034,0.4,0.24,0.17
34,-337.2772744,0.4,0.24,0.17
35,-241.454074,0.4,0.24,0.17
36,-12.01378877,0.4,0.24,0.17
1,241.6986835,0.44,0.26,0.19
2,357.0778947,0.44,0.26,0.19
3,320.8989799,0.44,0.26,0.19
4,245.7199835,0.44,0.26,0.19
5,229.5878377,0.44,0.26,0.19
6,260.5674567,0.44,0.26,0.19
7,267.7383269,0.44,0.26,0.19
8,231.7043617,0.44,0.26,0.19
9,204.9907898,0.44,0.26,0.19
10,227.5088573,0.44,0.26,0.19
11,265.6039499,0.44,0.26,0.19
12,263.368384,0.44,0.26,0.19
13,231.6624,0.44,0.26,0.19
14,240.7194374,0.44,0.26,0.19
15,312.8901056,0.44,0.26,0.19
16,359.0479455,0.44,0.26,0.19
17,261.0317405,0.44,0.26,0.19
18,15.11398637,0.44,0.26,0.19
19,-240.1471003,0.44,0.26,0.19
20,-356.8596143,0.44,0.26,0.19
21,-321.5015274,0.44,0.26,0.19
22,-246.1343062,0.44,0.26,0.19
23,-229.4491858,0.44,0.26,0.19
24,-260.3389765,0.44,0.26,0.19
25,-267.8819333,0.44,0.26,0.19
26,-232.0324666,0.44,0.26,0.19
27,-205.014411,0.44,0.26,0.19
28,-227.1926564,0.44,0.26,0.19
29,-265.4197365,0.44,0.26,0.19
30,-263.5697884,0.44,0.26,0.19
31,-231.8417173,0.44,0.26,0.19
32,-240.3651108,0.44,0.26,0.19
33,-312.2628171,0.44,0.26,0.19
34,-359.134094,0.44,0.26,0.19
35,-262.4529871,0.44,0.26,0.19
36,-17.27139191,0.44,0.26,0.19
1,257.7761884,0.48,0.29,0.21
2,381.917346,0.48,0.29,0.21
3,337.6284144,0.48,0.29,0.21
4,248.7279179,0.48,0.29,0.21
5,225.5967807,0.48,0.29,0.21
6,257.1972499,0.48,0.29,0.21
7,264.9659746,0.48,0.29,0.21
8,225.426459,0.48,0.29,0.21
9,195.2957977,0.48,0.29,0.21
10,219.3750242,0.48,0.29,0.21
11,261.8333332,0.48,0.29,0.21
12,261.0419388,0.48,0.29,0.21
13,228.1788561,0.48,0.29,0.21
14,240.8830537,0.48,0.29,0.21
15,325.2985955,0.48,0.29,0.21
16,383.9475343,0.48,0.29,0.21
17,284.8871849,0.48,0.29,0.21
18,21.03705837,0.48,0.29,0.21
19,-256.0901659,0.48,0.29,0.21
20,-381.7029605,0.48,0.29,0.21
21,-338.3344402,0.48,0.29,0.21
22,-249.2321118,0.48,0.29,0.21
23,-225.4757496,0.48,0.29,0.21
24,-256.9535783,0.48,0.29,0.21
25,-265.1213621,0.48,0.29,0.21
26,-225.7899099,0.48,0.29,0.21
27,-195.3292552,0.48,0.29,0.21
28,-219.0286084,0.48,0.29,0.21
29,-261.6211374,0.48,0.29,0.21
30,-261.2487224,0.48,0.29,0.21
31,-228.3594511,0.48,0.29,0.21
32,-240.465534,0.48,0.29,0.21
33,-324.5582075,0.48,0.29,0.21
34,-383.9744243,0.48,0.29,0.21
35,-286.3880177,0.48,0.29,0.21
36,-23.37147176,0.48,0.29,0.21
1,274.8610306,0.53,0.32,0.23
2,409.5576231,0.53,0.32,0.23
3,358.0303578,0.53,0.32,0.23
4,254.961239,0.53,0.32,0.23
5,223.4058925,0.53,0.32,0.23
6,253.9081675,0.53,0.32,0.23
7,260.7450672,0.53,0.32,0.23
8,216.5415831,0.53,0.32,0.23
9,182.3775811,0.53,0.32,0.23
10,208.2327638,0.53,0.32,0.23
11,256.2162919,0.53,0.32,0.23
12,258.6057268,0.53,0.32,0.23
13,226.193906,0.53,0.32,0.23
14,243.5210732,0.53,0.32,0.23
15,340.5092492,0.53,0.32,0.23
16,411.5302235,0.53,0.32,0.23
17,310.8461927,0.53,0.32,0.23
18,27.81469709,0.53,0.32,0.23
19,-273.0254159,0.53,0.32,0.23
20,-409.3358892,0.53,0.32,0.23
21,-358.8381794,0.53,0.32,0.23
22,-255.5632925,0.53,0.32,0.23
23,-223.3154131,0.53,0.32,0.23
24,-253.662178,0.53,0.32,0.23
25,-260.9227213,0.53,0.32,0.23
26,-216.9475394,0.53,0.32,0.23
27,-182.4228161,0.53,0.32,0.23
28,-207.8507414,0.53,0.32,0.23
29,-255.9641827,0.53,0.32,0.23
30,-258.8041099,0.53,0.32,0.23
31,-226.3654908,0.53,0.32,0.23
32,-243.0355774,0.53,0.32,0.23
33,-339.6551442,0.53,0.32,0.23
34,-411.5002978,0.53,0.32,0.23
35,-312.4333916,0.53,0.32,0.23
36,-30.33846314,0.53,0.32,0.23
1,291.3848882,0.58,0.35,0.25
2,437.2095777,0.58,0.35,0.25
3,378.8493498,0.58,0.35,0.25
4,261.5685286,0.58,0.35,0.25
5,221.3234091,0.58,0.35,0.25
6,250.616574,0.58,0.35,0.25
7,256.6259551,0.58,0.35,0.25
8,207.8245387,0.58,0.35,0.25
9,169.4924438,0.58,0.35,0.25
10,196.9432865,0.58,0.35,0.25
11,250.4511116,0.58,0.35,0.25
12,256.1450114,0.58,0.35,0.25
13,224.1618191,0.58,0.35,0.25
14,245.8682113,0.58,0.35,0.25
15,355.2696969,0.58,0.35,0.25
16,438.9236727,0.58,0.35,0.25
17,337.1914005,0.58,0.35,0.25
18,35.35335641,0.58,0.35,0.25
19,-289.3961018,0.58,0.35,0.25
20,-436.9760584,0.58,0.35,0.25
21,-379.7575477,0.58,0.35,0.25
22,-262.2701551,0.58,0.35,0.25
23,-221.2652937,0.58,0.35,0.25
24,-250.3680973,0.58,0.35,0.25
25,-256.8248377,0.58,0.35,0.25
26,-208.2732592,0.58,0.35,0.25
27,-169.5510217,0.58,0.35,0.25
28,-196.5265242,0.58,0.35,0.25
29,-250.1583272,0.58,0.35,0.25
30,-256.3342679,0.58,0.35,0.25
31,-224.3255825,0.58,0.35,0.25
32,-245.3168477,0.58,0.35,0.25
33,-354.3017271,0.58,0.35,0.25
34,-438.8332292,0.58,0.35,0.25
35,-338.8605686,0.58,0.35,0.25
36,-38.06562419,0.58,0.35,0.25
1,313.9686981,0.64,0.39,0.28
2,473.2240672,0.64,0.39,0.28
3,403.9767035,0.64,0.39,0.28
4,267.3940898,0.64,0.39,0.28
5,217.2159896,0.64,0.39,0.28
6,247.1225455,0.64,0.39,0.28
7,253.0247444,0.64,0.39,0.28
8,197.7095564,0.64,0.39,0.28
9,153.4126737,0.64,0.39,0.28
10,183.4069104,0.64,0.39,0.28
11,244.6799998,0.64,0.39,0.28
12,253.835795,0.64,0.39,0.28
13,220.2736693,0.64,0.39,0.28
14,246.1421653,0.64,0.39,0.28
15,372.1629673,0.64,0.39,0.28
16,473.8800205,0.64,0.39,0.28
17,371.572979,0.64,0.39,0.28
18,44.63037545,0.64,0.39,0.28
19,-311.7816855,0.64,0.39,0.28
20,-472.9892508,0.64,0.39,0.28
21,-405.0290262,0.64,0.39,0.28
22,-268.2228526,0.64,0.39,0.28
23,-217.1834089,0.64,0.39,0.28
24,-246.8567484,0.64,0.39,0.28
25,-253.2506957,0.64,0.39,0.28
26,-198.2203213,0.64,0.39,0.28
27,-153.4890375,0.64,0.39,0.28
28,-182.9387361,0.64,0.39,0.28
29,-244.3338998,0.64,0.39,0.28
30,-254.0262361,0.64,0.39,0.28
31,-220.4442332,0.64,0.39,0.28
32,-245.5097482,0.64,0.39,0.28
33,-371.0363603,0.64,0.39,0.28
34,-473.6992874,0.64,0.39,0.28
35,-373.3489967,0.64,0.39,0.28
36,-47.59516629,0.64,0.39,0.28
1,335.8029305,0.7,0.43,0.31
2,509.2828052,0.7,0.43,0.31
3,429.6938194,0.7,0.43,0.31
4,273.708085,0.7,0.43,0.31
5,213.1933793,0.7,0.43,0.31
6,243.5658431,0.7,0.43,0.31
7,249.5463577,0.7,0.43,0.31
8,187.8403951,0.7,0.43,0.31
9,137.3873055,0.7,0.43,0.31
10,169.6582272,0.7,0.43,0.31
11,238.7081865,0.7,0.43,0.31
12,251.5418203,0.7,0.43,0.31
13,216.3998381,0.7,0.43,0.31
14,246.0691724,0.7,0.43,0.31
15,388.4261837,0.7,0.43,0.31
16,508.51955,0.7,0.43,0.31
17,406.4309471,0.7,0.43,0.31
18,54.92347583,0.7,0.43,0.31
19,-333.4127449,0.7,0.43,0.31
20,-509.0405683,0.7,0.43,0.31
21,-430.8885379,0.7,0.43,0.31
22,-274.6667136,0.7,0.43,0.31
23,-213.1889853,0.7,0.43,0.31
24,-243.2822675,0.7,0.43,0.31
25,-249.7975989,0.7,0.43,0.31
26,-188.4134568,0.7,0.43,0.31
27,-137.483765,0.7,0.43,0.31
28,-169.1398982,0.7,0.43,0.31
29,-238.3074587,0.7,0.43,0.31
30,-251.7320777,0.7,0.43,0.31
31,-216.5788,0.7,0.43,0.31
32,-245.3590095,0.7,0.43,0.31
33,-387.1412291,0.7,0.43,0.31
34,-508.2436059,0.7,0.43,0.31
35,-408.3076106,0.7,0.43,0.31
36,-58.13946081,0.7,0.43,0.31
1,359.707626,0.78,0.47,0.34
2,550.7495583,0.78,0.47,0.34
3,462.4838047,0.78,0.47,0.34
4,286.3758154,0.78,0.47,0.34
5,212.9213286,0.78,0.47,0.34
6,240.4244822,0.78,0.47,0.34
7,243.3582593,0.78,0.47,0.34
8,172.8408607,0.78,0.47,0.34
9,114.9359293,0.78,0.47,0.34
10,149.8400837,0.78,0.47,0.34
11,228.8665148,0.78,0.47,0.34
12,248.7708594,0.78,0.47,0.34
13,215.3646575,0.78,0.47,0.34
14,251.0312766,0.78,0.47,0.34
15,410.5466408,0.78,0.47,0.34
16,548.691875,0.78,0.47,0.34
17,445.4191885,0.78,0.47,0.34
18,66.7259831,0.78,0.47,0.34
19,-357.0858353,0.78,0.47,0.34
20,-550.4789754,0.78,0.47,0.34
21,-463.8170978,0.78,0.47,0.34
22,-287.4783297,0.78,0.47,0.34
23,-212.9694477,0.78,0.47,0.34
24,-240.1488416,0.78,0.47,0.34
25,-243.6565979,0.78,0.47,0.34
26,-173.4911856,0.78,0.47,0.34
27,-115.0567795,0.78,0.47,0.34
28,-149.2616002,0.78,0.47,0.34
29,-228.3882894,0.78,0.47,0.34
30,-248.9334186,0.78,0.47,0.34
31,-215.5299245,0.78,0.47,0.34
32,-250.231881,0.78,0.47,0.34
33,-409.1017108,0.78,0.47,0.34
34,-548.3271763,0.78,0.47,0.34
35,-447.4118244,0.78,0.47,0.34
36,-70.21777605,0.78,0.47,0.34
1,387.7214604,0.86,0.52,0.38
2,597.936285,0.86,0.52,0.38
3,496.769687,0.86,0.52,0.38
4,295.6523654,0.86,0.52,0.38
5,208.797907,0.86,0.52,0.38
6,236.7672056,0.86,0.52,0.38
7,239.2246409,0.86,0.52,0.38
8,159.369757,0.86,0.52,0.38
9,92.59040546,0.86,0.52,0.38
10,130.507249,0.86,0.52,0.38
11,220.6549737,0.86,0.52,0.38
12,246.4151386,0.86,0.52,0.38
13,211.1429813,0.86,0.52,0.38
14,251.0475162,0.86,0.52,0.38
15,431.1054574,0.86,0.52,0.38
16,593.2207401,0.86,0.52,0.38
17,490.9078638,0.86,0.52,0.38
18,80.73521228,0.86,0.52,0.38
19,-384.8311951,0.86,0.52,0.38
20,-597.65076,0.86,0.52,0.38
21,-498.2852552,0.86,0.52,0.38
22,-296.9229493,0.86,0.52,0.38
23,-208.8828173,0.86,0.52,0.38
24,-236.4708507,0.86,0.52,0.38
25,-239.562402,0.86,0.52,0.38
26,-160.1094928,0.86,0.52,0.38
27,-92.74126658,0.86,0.52,0.38
28,-129.8588452,0.86,0.52,0.38
29,-220.0962122,0.86,0.52,0.38
30,-246.571799,0.86,0.52,0.38
31,-211.3218778,0.86,0.52,0.38
32,-250.15381,0.86,0.52,0.38
33,-429.4575154,0.86,0.52,0.38
34,-592.7285114,0.86,0.52,0.38
35,-493.0259103,0.86,0.52,0.38
36,-84.55264997,0.86,0.52,0.38
1,416.0881373,0.95,0.57,0.42
2,647.7923273,0.95,0.57,0.42
3,535.0444747,0.95,0.57,0.42
4,308.5252021,0.95,0.57,0.42
5,206.6683686,0.95,0.57,0.42
6,233.3261641,0.95,0.57,0.42
7,233.9019974,0.95,0.57,0.42
8,143.5949002,0.95,0.57,0.42
9,67.10207594,0.95,0.57,0.42
10,107.9308259,0.95,0.57,0.42
11,210.2613093,0.95,0.57,0.42
12,243.7543081,0.95,0.57,0.42
13,208.3216021,0.95,0.57,0.42
14,253.3107033,0.95,0.57,0.42
15,454.0940034,0.95,0.57,0.42
16,640.2518232,0.95,0.57,0.42
17,538.8448735,0.95,0.57,0.42
18,96.35924646,0.95,0.57,0.42
19,-412.911334,0.95,0.57,0.42
20,-647.4762121,0.95,0.57,0.42
21,-536.7385917,0.95,0.57,0.42
22,-309.9727745,0.95,0.57,0.42
23,-206.804268,0.95,0.57,0.42
24,-233.0215252,0.95,0.57,0.42
25,-234.288604,0.95,0.57,0.42
26,-144.4318684,0.95,0.57,0.42
27,-67.28738204,0.95,0.57,0.42
28,-107.209013,0.95,0.57,0.42
29,-209.6097015,0.95,0.57,0.42
30,-243.8899476,0.95,0.57,0.42
31,-208.5039627,0.95,0.57,0.42
32,-252.3194498,0.95,0.57,0.42
33,-452.2425949,0.95,0.57,0.42
34,-639.6314093,0.95,0.57,0.42
35,-541.0907768,0.95,0.57,0.42
36,-100.5131952,0.95,0.57,0.42
1,203,0.33,0.2,0.14
2,298,0.33,0.2,0.14
3,280,0.33,0.2,0.14
4,235,0.33,0.2,0.14
5,234,0.33,0.2,0.14
6,265,0.33,0.2,0.14
7,276,0.33,0.2,0.14
8,254,0.33,0.2,0.14
9,237,0.33,0.2,0.14
10,253,0.33,0.2,0.14
11,276,0.33,0.2,0.14
12,265,0.33,0.2,0.14
13,234,0.33,0.2,0.14
14,235,0.33,0.2,0.14
15,279,0.33,0.2,0.14
16,298,0.33,0.2,0.14
17,204,0.33,0.2,0.14
18,2,0.33,0.2,0.14
19,-201,0.33,0.2,0.14
20,-297,0.33,0.2,0.14
21,-280,0.33,0.2,0.14
22,-235,0.33,0.2,0.14
23,-234,0.33,0.2,0.14
24,-264,0.33,0.2,0.14
25,-276,0.33,0.2,0.14
26,-254,0.33,0.2,0.14
27,-237,0.33,0.2,0.14
28,-253,0.33,0.2,0.14
29,-275,0.33,0.2,0.14
30,-265,0.33,0.2,0.14
31,-234,0.33,0.2,0.14
32,-235,0.33,0.2,0.14
33,-279,0.33,0.2,0.14
34,-298,0.33,0.2,0.14
35,-205,0.33,0.2,0.14
36,-3,0.33,0.2,0.14
1,213,0.36,0.22,0.15
2,314,0.36,0.22,0.15
3,292,0.36,0.22,0.15
4,239,0.36,0.22,0.15
5,232,0.36,0.22,0.15
6,261,0.36,0.22,0.15
7,272,0.36,0.22,0.15
8,249,0.36,0.22,0.15
9,231,0.36,0.22,0.15
10,248,0.36,0.22,0.15
11,272,0.36,0.22,0.15
12,263,0.36,0.22,0.15
13,232,0.36,0.22,0.15
14,237,0.36,0.22,0.15
15,290,0.36,0.22,0.15
16,315,0.36,0.22,0.15
17,219,0.36,0.22,0.15
18,6,0.36,0.22,0.15
19,-212,0.36,0.22,0.15
20,-314,0.36,0.22,0.15
21,-292,0.36,0.22,0.15
22,-239,0.36,0.22,0.15
23,-231,0.36,0.22,0.15
24,-261,0.36,0.22,0.15
25,-272,0.36,0.22,0.15
26,-249,0.36,0.22,0.15
27,-231,0.36,0.22,0.15
28,-247,0.36,0.22,0.15
29,-272,0.36,0.22,0.15
30,-263,0.36,0.22,0.15
31,-233,0.36,0.22,0.15
32,-237,0.36,0.22,0.15
33,-289,0.36,0.22,0.15
34,-315,0.36,0.22,0.15
35,-221,0.36,0.22,0.15
36,-7,0.36,0.22,0.15
1,228,0.4,0.24,0.17
2,336,0.4,0.24,0.17
3,306,0.4,0.24,0.17
4,242,0.4,0.24,0.17
5,231,0.4,0.24,0.17
6,261,0.4,0.24,0.17
7,270,0.4,0.24,0.17
8,240,0.4,0.24,0.17
9,218,0.4,0.24,0.17
10,238,0.4,0.24,0.17
11,269,0.4,0.24,0.17
12,263,0.4,0.24,0.17
13,232,0.4,0.24,0.17
14,239,0.4,0.24,0.17
15,302,0.4,0.24,0.17
16,337,0.4,0.24,0.17
17,240,0.4,0.24,0.17
18,10,0.4,0.24,0.17
19,-226,0.4,0.24,0.17
20,-335,0.4,0.24,0.17
21,-307,0.4,0.24,0.17
22,-242,0.4,0.24,0.17
23,-230,0.4,0.24,0.17
24,-261,0.4,0.24,0.17
25,-270,0.4,0.24,0.17
26,-240,0.4,0.24,0.17
27,-218,0.4,0.24,0.17
28,-237,0.4,0.24,0.17
29,-269,0.4,0.24,0.17
30,-263,0.4,0.24,0.17
31,-232,0.4,0.24,0.17
32,-239,0.4,0.24,0.17
33,-301,0.4,0.24,0.17
34,-337,0.4,0.24,0.17
35,-241,0.4,0.24,0.17
36,-12,0.4,0.24,0.17
1,181,0.297,0.18,0.126
2,277,0.297,0.18,0.126
3,270,0.297,0.18,0.126
4,233,0.297,0.18,0.126
5,234,0.297,0.18,0.126
6,265,0.297,0.18,0.126
7,279,0.297,0.18,0.126
8,261,0.297,0.18,0.126
9,246,0.297,0.18,0.126
10,259,0.297,0.18,0.126
11,278,0.297,0.18,0.126
12,268,0.297,0.18,0.126
13,237,0.297,0.18,0.126
14,231,0.297,0.18,0.126
15,266,0.297,0.18,0.126
16,280,0.297,0.18,0.126
17,196,0.297,0.18,0.126
18,11,0.297,0.18,0.126
19,-180,0.297,0.18,0.126
20,-277,0.297,0.18,0.126
21,-270,0.297,0.18,0.126
22,-234,0.297,0.18,0.126
23,-234,0.297,0.18,0.126
24,-265,0.297,0.18,0.126
25,-279,0.297,0.18,0.126
26,-262,0.297,0.18,0.126
27,-246,0.297,0.18,0.126
28,-259,0.297,0.18,0.126
29,-278,0.297,0.18,0.126
30,-268,0.297,0.18,0.126
31,-237,0.297,0.18,0.126
32,-231,0.297,0.18,0.126
33,-266,0.297,0.18,0.126
34,-281,0.297,0.18,0.126
35,-197,0.297,0.18,0.126
36,-13,0.297,0.18,0.126
1,166,0.267,0.162,0.113
2,260,0.267,0.162,0.113
3,259,0.267,0.162,0.113
4,231,0.267,0.162,0.113
5,235,0.267,0.162,0.113
6,266,0.267,0.162,0.113
7,281,0.267,0.162,0.113
8,268,0.267,0.162,0.113
9,254,0.267,0.162,0.113
10,265,0.267,0.162,0.113
11,281,0.267,0.162,0.113
12,270,0.267,0.162,0.113
13,238,0.267,0.162,0.113
14,229,0.267,0.162,0.113
15,255,0.267,0.162,0.113
16,264,0.267,0.162,0.113
17,184,0.267,0.162,0.113
18,13,0.267,0.162,0.113
19,-165,0.267,0.162,0.113
20,-259,0.267,0.162,0.113
21,-259,0.267,0.162,0.113
22,-231,0.267,0.162,0.113
23,-235,0.267,0.162,0.113
24,-266,0.267,0.162,0.113
25,-281,0.267,0.162,0.113
26,-268,0.267,0.162,0.113
27,-254,0.267,0.162,0.113
28,-265,0.267,0.162,0.113
29,-281,0.267,0.162,0.113
30,-270,0.267,0.162,0.113
31,-239,0.267,0.162,0.113
32,-229,0.267,0.162,0.113
33,-255,0.267,0.162,0.113
34,-264,0.267,0.162,0.113
35,-185,0.267,0.162,0.113
36,-15,0.267,0.162,0.113
1,153,0.24,0.146,0.102
2,244,0.24,0.146,0.102
3,249,0.24,0.146,0.102
4,229,0.24,0.146,0.102
5,236,0.24,0.146,0.102
6,267,0.24,0.146,0.102
7,284,0.24,0.146,0.102
8,273,0.24,0.146,0.102
9,262,0.24,0.146,0.102
10,271,0.24,0.146,0.102
11,284,0.24,0.146,0.102
12,272,0.24,0.146,0.102
13,240,0.24,0.146,0.102
14,227,0.24,0.146,0.102
15,246,0.24,0.146,0.102
16,250,0.24,0.146,0.102
17,174,0.24,0.146,0.102
18,15,0.24,0.146,0.102
19,-152,0.24,0.146,0.102
20,-244,0.24,0.146,0.102
21,-250,0.24,0.146,0.102
22,-229,0.24,0.146,0.102
23,-236,0.24,0.146,0.102
24,-267,0.24,0.146,0.102
25,-284,0.24,0.146,0.102
26,-273,0.24,0.146,0.102
27,-262,0.24,0.146,0.102
28,-270,0.24,0.146,0.102
29,-284,0.24,0.146,0.102
30,-272,0.24,0.146,0.102
31,-240,0.24,0.146,0.102
32,-227,0.24,0.146,0.102
33,-246,0.24,0.146,0.102
34,-250,0.24,0.146,0.102
35,-175,0.24,0.146,0.102
36,-17,0.24,0.146,0.102
1,140,0.216,0.13,0.092
2,229,0.216,0.13,0.092
3,240,0.216,0.13,0.092
4,226,0.216,0.13,0.092
5,237,0.216,0.13,0.092
6,268,0.216,0.13,0.092
7,286,0.216,0.13,0.092
8,278,0.216,0.13,0.092
9,267,0.216,0.13,0.092
10,275,0.216,0.13,0.092
11,286,0.216,0.13,0.092
12,274,0.216,0.13,0.092
13,242,0.216,0.13,0.092
14,226,0.216,0.13,0.092
15,238,0.216,0.13,0.092
16,236,0.216,0.13,0.092
17,164,0.216,0.13,0.092
18,17,0.216,0.13,0.092
19,-139,0.216,0.13,0.092
20,-229,0.216,0.13,0.092
21,-240,0.216,0.13,0.092
22,-226,0.216,0.13,0.092
23,-237,0.216,0.13,0.092
24,-268,0.216,0.13,0.092
25,-286,0.216,0.13,0.092
26,-278,0.216,0.13,0.092
27,-267,0.216,0.13,0.092
28,-275,0.216,0.13,0.092
29,-286,0.216,0.13,0.092
30,-274,0.216,0.13,0.092
31,-242,0.216,0.13,0.092
32,-226,0.216,0.13,0.092
33,-237,0.216,0.13,0.092
34,-237,0.216,0.13,0.092
35,-165,0.216,0.13,0.092
36,-18,0.216,0.13,0.092
1,129,0.194,0.117,0.083
2,216,0.194,0.117,0.083
3,232,0.194,0.117,0.083
4,224,0.194,0.117,0.083
5,237,0.194,0.117,0.083
6,269,0.194,0.117,0.083
7,288,0.194,0.117,0.083
8,282,0.194,0.117,0.083
9,273,0.194,0.117,0.083
10,280,0.194,0.117,0.083
11,288,0.194,0.117,0.083
12,275,0.194,0.117,0.083
13,244,0.194,0.117,0.083
14,224,0.194,0.117,0.083
15,230,0.194,0.117,0.083
16,225,0.194,0.117,0.083
17,156,0.194,0.117,0.083
18,18,0.194,0.117,0.083
19,-129,0.194,0.117,0.083
20,-216,0.194,0.117,0.083
21,-232,0.194,0.117,0.083
22,-224,0.194,0.117,0.083
23,-237,0.194,0.117,0.083
24,-269,0.194,0.117,0.083
25,-288,0.194,0.117,0.083
26,-282,0.194,0.117,0.083
27,-273,0.194,0.117,0.083
28,-279,0.194,0.117,0.083
29,-288,0.194,0.117,0.083
30,-275,0.194,0.117,0.083
31,-244,0.194,0.117,0.083
32,-225,0.194,0.117,0.083
33,-230,0.194,0.117,0.083
34,-225,0.194,0.117,0.083
35,-156,0.194,0.117,0.083
36,-19,0.194,0.117,0.083
1,117,0.17,0.1,0.07
2,200,0.17,0.1,0.07
3,223,0.17,0.1,0.07
4,223,0.17,0.1,0.07
5,239,0.17,0.1,0.07
6,270,0.17,0.1,0.07
7,289,0.17,0.1,0.07
8,287,0.17,0.1,0.07
9,280,0.17,0.1,0.07
10,284,0.17,0.1,0.07
11,290,0.17,0.1,0.07
12,277,0.17,0.1,0.07
13,246,0.17,0.1,0.07
14,225,0.17,0.1,0.07
15,223,0.17,0.1,0.07
16,211,0.17,0.1,0.07
17,144,0.17,0.1,0.07
18,19,0.17,0.1,0.07
19,-116,0.17,0.1,0.07
20,-200,0.17,0.1,0.07
21,-223,0.17,0.1,0.07
22,-223,0.17,0.1,0.07
23,-239,0.17,0.1,0.07
24,-269,0.17,0.1,0.07
